Sala: 204 Predio: CAA Capacidade: 55 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
08:50-09:40,AAAA Curso: Curso9 Predio: CAA Capacidade: 20 Periodo: 6,A Curso: Curso9 Predio: INF Capacidade: 24 Periodo: 6,AAAA Curso: Curso9 Predio: CAA Capacidade: 20 Periodo: 6,A Curso: Curso9 Predio: INF Capacidade: 24 Periodo: 6,AAA Curso: Curso12 Predio: CAA Capacidade: 15 Periodo: 7,VAZIO, 
10:00-10:50,AA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 5,AAA Curso: Curso2 Predio: INF Capacidade: 24 Periodo: 4,AA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 5,AAA Curso: Curso2 Predio: INF Capacidade: 24 Periodo: 4,AAA Curso: Curso12 Predio: CAA Capacidade: 15 Periodo: 7,VAZIO, 
10:50-11:40,AA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 5,AAA Curso: Curso2 Predio: INF Capacidade: 24 Periodo: 4,AA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 5,AAA Curso: Curso2 Predio: INF Capacidade: 24 Periodo: 4,AAA Curso: Curso12 Predio: CAA Capacidade: 15 Periodo: 7,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AAAA Curso: Curso8 Predio: INF Capacidade: 24 Periodo: 6,AAAA Curso: Curso8 Predio: INF Capacidade: 24 Periodo: 6,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,A Curso: Curso4 Predio: INF Capacidade: 24 Periodo: 6,VAZIO, 
14:50-15:40,AAAA Curso: Curso8 Predio: INF Capacidade: 24 Periodo: 6,AAAA Curso: Curso8 Predio: INF Capacidade: 24 Periodo: 6,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,A Curso: Curso4 Predio: INF Capacidade: 24 Periodo: 6,VAZIO, 
16:00-16:50,AAAA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 3,AAAA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 3,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,VAZIO, VAZIO, 
16:50-17:40,AAAA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 3,AAAA Curso: Curso1 Predio: INF Capacidade: 24 Periodo: 3,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,AA Curso: Curso10 Predio: INF Capacidade: 24 Periodo: 5,VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 204 Predio: CAB Capacidade: 60 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 4,A Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 4,VAZIO, VAZIO, 
08:50-09:40,A Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 4,A Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso1 Predio: CAB Capacidade: 55 Periodo: 4,VAZIO, VAZIO, 
10:00-10:50,AAA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso16 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso16 Predio: CAB Capacidade: 60 Periodo: 6,VAZIO, VAZIO, 
10:50-11:40,AAA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso16 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 1,AAAA Curso: Curso16 Predio: CAB Capacidade: 60 Periodo: 6,VAZIO, VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 3,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 3,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AAAA Curso: Curso14 Predio: CAB Capacidade: 60 Periodo: 1,VAZIO, 
14:50-15:40,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 3,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 3,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AAAA Curso: Curso14 Predio: CAB Capacidade: 60 Periodo: 1,VAZIO, 
16:00-16:50,AA Curso: Curso13 Predio: CAB Capacidade: 55 Periodo: 2,AA Curso: Curso13 Predio: CAB Capacidade: 55 Periodo: 2,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AAAA Curso: Curso10 Predio: CAB Capacidade: 55 Periodo: 1,VAZIO, 
16:50-17:40,AA Curso: Curso13 Predio: CAB Capacidade: 55 Periodo: 2,AA Curso: Curso13 Predio: CAB Capacidade: 55 Periodo: 2,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AA Curso: Curso2 Predio: CAB Capacidade: 55 Periodo: 3,AAAA Curso: Curso10 Predio: CAB Capacidade: 55 Periodo: 1,VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 205 Predio: CAB Capacidade: 60 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,AAAA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 2,AAAA Curso: Curso5 Predio: CAB Capacidade: 55 Periodo: 5,AAAA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 2,AAAA Curso: Curso5 Predio: CAB Capacidade: 55 Periodo: 5,VAZIO, VAZIO, 
08:50-09:40,AAAA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 2,AAAA Curso: Curso5 Predio: CAB Capacidade: 55 Periodo: 5,AAAA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 2,AAAA Curso: Curso5 Predio: CAB Capacidade: 55 Periodo: 5,VAZIO, VAZIO, 
10:00-10:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
10:50-11:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AAAA Curso: Curso15 Predio: CAB Capacidade: 60 Periodo: 7,VAZIO, 
14:50-15:40,AA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso2 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AAAA Curso: Curso15 Predio: CAB Capacidade: 60 Periodo: 7,VAZIO, 
16:00-16:50,A Curso: Curso15 Predio: CAB Capacidade: 55 Periodo: 5,A Curso: Curso15 Predio: CAB Capacidade: 55 Periodo: 5,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AAA Curso: Curso8 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, 
16:50-17:40,A Curso: Curso15 Predio: CAB Capacidade: 55 Periodo: 5,A Curso: Curso15 Predio: CAB Capacidade: 55 Periodo: 5,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 4,AAA Curso: Curso8 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 304 Predio: CAB Capacidade: 60 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,AAA Curso: Curso10 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, AAA Curso: Curso10 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, AAA Curso: Curso10 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, 
08:50-09:40,AAA Curso: Curso10 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, AAA Curso: Curso10 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, AAA Curso: Curso10 Predio: CAB Capacidade: 60 Periodo: 2,VAZIO, 
10:00-10:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
10:50-11:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso6 Predio: CAB Capacidade: 60 Periodo: 7,AA Curso: Curso6 Predio: CAB Capacidade: 60 Periodo: 7,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAAA Curso: Curso4 Predio: CAB Capacidade: 55 Periodo: 4,VAZIO, 
14:50-15:40,AA Curso: Curso6 Predio: CAB Capacidade: 60 Periodo: 7,AA Curso: Curso6 Predio: CAB Capacidade: 60 Periodo: 7,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAAA Curso: Curso4 Predio: CAB Capacidade: 55 Periodo: 4,VAZIO, 
16:00-16:50,A Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,A Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,VAZIO, VAZIO, 
16:50-17:40,A Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,A Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,AAA Curso: Curso5 Predio: CAB Capacidade: 60 Periodo: 6,VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 305 Predio: CAB Capacidade: 60 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso13 Predio: CAB Capacidade: 60 Periodo: 3,VAZIO, A Curso: Curso13 Predio: CAB Capacidade: 60 Periodo: 3,VAZIO, VAZIO, VAZIO, 
08:50-09:40,A Curso: Curso13 Predio: CAB Capacidade: 60 Periodo: 3,VAZIO, A Curso: Curso13 Predio: CAB Capacidade: 60 Periodo: 3,VAZIO, VAZIO, VAZIO, 
10:00-10:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
10:50-11:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,VAZIO, VAZIO, VAZIO, VAZIO, AAA Curso: Curso3 Predio: CAB Capacidade: 55 Periodo: 6,VAZIO, 
14:50-15:40,VAZIO, VAZIO, VAZIO, VAZIO, AAA Curso: Curso3 Predio: CAB Capacidade: 55 Periodo: 6,VAZIO, 
16:00-16:50,AA Curso: Curso10 Predio: CAB Capacidade: 55 Periodo: 8,AA Curso: Curso10 Predio: CAB Capacidade: 55 Periodo: 8,VAZIO, VAZIO, VAZIO, VAZIO, 
16:50-17:40,AA Curso: Curso10 Predio: CAB Capacidade: 55 Periodo: 8,AA Curso: Curso10 Predio: CAB Capacidade: 55 Periodo: 8,VAZIO, VAZIO, VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 101 Predio: CAB Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso13 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso1 Predio: CAB Capacidade: 45 Periodo: 6,A Curso: Curso13 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso1 Predio: CAB Capacidade: 45 Periodo: 6,A Curso: Curso15 Predio: CAB Capacidade: 50 Periodo: 3,VAZIO, 
08:50-09:40,A Curso: Curso13 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso1 Predio: CAB Capacidade: 45 Periodo: 6,A Curso: Curso13 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso1 Predio: CAB Capacidade: 45 Periodo: 6,A Curso: Curso15 Predio: CAB Capacidade: 50 Periodo: 3,VAZIO, 
10:00-10:50,A Curso: Curso6 Predio: CAB Capacidade: 50 Periodo: 1,AA Curso: Curso14 Predio: CAB Capacidade: 50 Periodo: 2,A Curso: Curso6 Predio: CAB Capacidade: 50 Periodo: 1,AA Curso: Curso14 Predio: CAB Capacidade: 50 Periodo: 2,A Curso: Curso15 Predio: CAB Capacidade: 50 Periodo: 3,VAZIO, 
10:50-11:40,A Curso: Curso6 Predio: CAB Capacidade: 50 Periodo: 1,AA Curso: Curso14 Predio: CAB Capacidade: 50 Periodo: 2,A Curso: Curso6 Predio: CAB Capacidade: 50 Periodo: 1,AA Curso: Curso14 Predio: CAB Capacidade: 50 Periodo: 2,A Curso: Curso15 Predio: CAB Capacidade: 50 Periodo: 3,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso5 Predio: CAB Capacidade: 45 Periodo: 2,AA Curso: Curso5 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,AA Curso: Curso11 Predio: CAB Capacidade: 30 Periodo: 3,VAZIO, 
14:50-15:40,AA Curso: Curso5 Predio: CAB Capacidade: 45 Periodo: 2,AA Curso: Curso5 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,AA Curso: Curso11 Predio: CAB Capacidade: 30 Periodo: 3,VAZIO, 
16:00-16:50,A Curso: Curso6 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso6 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,A Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 1,VAZIO, 
16:50-17:40,A Curso: Curso6 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso6 Predio: CAB Capacidade: 45 Periodo: 2,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,A Curso: Curso2 Predio: CAB Capacidade: 45 Periodo: 3,A Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 1,VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 102 Predio: CAB Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,AAA Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 3,VAZIO, AAA Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 3,VAZIO, AAA Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 3,VAZIO, 
08:50-09:40,AAA Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 3,VAZIO, AAA Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 3,VAZIO, AAA Curso: Curso8 Predio: CAB Capacidade: 45 Periodo: 3,VAZIO, 
10:00-10:50,AAA Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 2,AA Curso: Curso13 Predio: CAB Capacidade: 50 Periodo: 5,AAA Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 2,AA Curso: Curso13 Predio: CAB Capacidade: 50 Periodo: 5,AAA Curso: Curso4 Predio: CAB Capacidade: 45 Periodo: 8,VAZIO, 
10:50-11:40,AAA Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 2,AA Curso: Curso13 Predio: CAB Capacidade: 50 Periodo: 5,AAA Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 2,AA Curso: Curso13 Predio: CAB Capacidade: 50 Periodo: 5,AAA Curso: Curso4 Predio: CAB Capacidade: 45 Periodo: 8,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso5 Predio: CAB Capacidade: 30 Periodo: 6,AA Curso: Curso5 Predio: CAB Capacidade: 30 Periodo: 6,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,A Curso: Curso9 Predio: CAB Capacidade: 45 Periodo: 5,VAZIO, 
14:50-15:40,AA Curso: Curso5 Predio: CAB Capacidade: 30 Periodo: 6,AA Curso: Curso5 Predio: CAB Capacidade: 30 Periodo: 6,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,A Curso: Curso9 Predio: CAB Capacidade: 45 Periodo: 5,VAZIO, 
16:00-16:50,AAAA Curso: Curso14 Predio: CAB Capacidade: 40 Periodo: 4,AAAA Curso: Curso14 Predio: CAB Capacidade: 40 Periodo: 4,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,AAAA Curso: Curso5 Predio: CAB Capacidade: 45 Periodo: 7,VAZIO, 
16:50-17:40,AAAA Curso: Curso14 Predio: CAB Capacidade: 40 Periodo: 4,AAAA Curso: Curso14 Predio: CAB Capacidade: 40 Periodo: 4,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,AAAA Curso: Curso5 Predio: CAB Capacidade: 40 Periodo: 8,AAAA Curso: Curso5 Predio: CAB Capacidade: 45 Periodo: 7,VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 103 Predio: CAB Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso10 Predio: CAB Capacidade: 45 Periodo: 4,VAZIO, A Curso: Curso10 Predio: CAB Capacidade: 45 Periodo: 4,VAZIO, A Curso: Curso10 Predio: CAB Capacidade: 45 Periodo: 4,VAZIO, 
08:50-09:40,A Curso: Curso10 Predio: CAB Capacidade: 45 Periodo: 4,VAZIO, A Curso: Curso10 Predio: CAB Capacidade: 45 Periodo: 4,VAZIO, A Curso: Curso10 Predio: CAB Capacidade: 45 Periodo: 4,VAZIO, 
10:00-10:50,AAA Curso: Curso15 Predio: CAB Capacidade: 45 Periodo: 5,VAZIO, AAA Curso: Curso15 Predio: CAB Capacidade: 45 Periodo: 5,VAZIO, VAZIO, VAZIO, 
10:50-11:40,AAA Curso: Curso15 Predio: CAB Capacidade: 45 Periodo: 5,VAZIO, AAA Curso: Curso15 Predio: CAB Capacidade: 45 Periodo: 5,VAZIO, VAZIO, VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,VAZIO, VAZIO, VAZIO, VAZIO, AA Curso: Curso9 Predio: CAB Capacidade: 40 Periodo: 6,VAZIO, 
14:50-15:40,VAZIO, VAZIO, VAZIO, VAZIO, AA Curso: Curso9 Predio: CAB Capacidade: 40 Periodo: 6,VAZIO, 
16:00-16:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
16:50-17:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 109 Predio: CAB Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,AA Curso: Curso9 Predio: CAB Capacidade: 40 Periodo: 5,VAZIO, AA Curso: Curso9 Predio: CAB Capacidade: 40 Periodo: 5,VAZIO, A Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 4,VAZIO, 
08:50-09:40,AA Curso: Curso9 Predio: CAB Capacidade: 40 Periodo: 5,VAZIO, AA Curso: Curso9 Predio: CAB Capacidade: 40 Periodo: 5,VAZIO, A Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 4,VAZIO, 
10:00-10:50,AAA Curso: Curso4 Predio: CAB Capacidade: 45 Periodo: 8,VAZIO, AAA Curso: Curso4 Predio: CAB Capacidade: 45 Periodo: 8,VAZIO, A Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 4,VAZIO, 
10:50-11:40,AAA Curso: Curso4 Predio: CAB Capacidade: 45 Periodo: 8,VAZIO, AAA Curso: Curso4 Predio: CAB Capacidade: 45 Periodo: 8,VAZIO, A Curso: Curso16 Predio: CAB Capacidade: 50 Periodo: 4,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,VAZIO, VAZIO, VAZIO, VAZIO, A Curso: Curso16 Predio: CAB Capacidade: 30 Periodo: 5,VAZIO, 
14:50-15:40,VAZIO, VAZIO, VAZIO, VAZIO, A Curso: Curso16 Predio: CAB Capacidade: 30 Periodo: 5,VAZIO, 
16:00-16:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
16:50-17:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 110 Predio: CAB Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
